State,Hispanic,White,Black,Native,Asian,Pacific,Men,Women,TotalPop,Citizen
Alabama,192987,3204483,1269503,21957,58683,1542,2341089,2489527,4830616,3620990
Alaska,47731,457374,23676,98363,42280,8464,384160,349202,733362,523933
Arizona,2013943,3752031,263430,264548,194060,11228,3299088,3342840,6641928,4526594
Arkansas,202878,2176968,456441,16253,39821,6698,1451913,1506295,2958208,2164083
California,14736334,14870829,2151335,140116,5188324,137738,19064148,19334324,38398472,24259881
Colorado,1110751,3643834,201640,27699,149588,6762,2644019,2630239,5274258,3746612
Connecticut,525535,2486030,345035,4757,149033,725,1749557,1841615,3591172,2572163
Delaware,80590,591826,194974,2510,33280,142,448413,478041,926454,681606
District of Columbia,65713,230419,310586,1233,23416,217,306674,340810,647484,485116
Florida,4658733,11011588,3033746,39846,498278,9471,9599950,10045746,19645696,13932985
Georgia,914298,5459298,3053414,17978,357581,3998,4883321,5123362,10006683,6978650
Hawaii,139094,321663,26565,2078,517129,127346,709871,696428,1406299,1001729
Idaho,191132,1342519,9242,17127,20484,1708,810464,806083,1616547,1130550
Illinois,2121336,8040308,1817547,13843,639861,2510,6316899,6556862,12873761,8979999
Indiana,420520,5287498,593667,11486,120520,1758,3235263,3333382,6568645,4801113
Iowa,167755,2703140,95328,8081,62245,1764,1534595,1558931,3093526,2285126
Kansas,322898,2228474,163683,19954,74831,1588,1439858,1453125,2892983,2053915
Kentucky,142962,3761549,341814,7183,54770,2032,2164197,2233145,4397342,3297097
Louisiana,217646,2750536,1473776,24136,76862,1716,2261156,2364097,4625253,3410634
Maine,19309,1247591,14324,7427,14311,153,650081,679019,1329100,1048274
Maryland,533025,3143399,1722566,11515,354782,2308,2872643,3057895,5930538,4182241
Massachusetts,707155,4981460,433784,7792,397947,1238,3249650,3455936,6705586,4850598
Michigan,465557,7511679,1364469,46319,266618,1754,4860103,5038585,9898688,7378276
Minnesota,270136,4426556,292445,51066,238831,1592,2690300,2727005,5417305,3949037
Mississippi,86156,1714322,1112160,11871,28579,360,1451627,1536358,2987985,2210338
Missouri,232312,4849198,690956,22064,104985,5735,2964003,3081432,6045435,4525027
Montana,33436,882017,4470,63290,6813,792,509613,504536,1014149,780705
Nebraska,185826,1508702,85180,12988,37525,1104,928333,939759,1868092,1332645
Nevada,770299,1454957,225432,24361,210891,16899,1407735,1390901,2798636,1863799
New Hampshire,42012,1210214,15367,1867,30985,223,653484,670717,1324201,1020130
New Jersey,1685401,5090879,1126244,9455,798581,2036,4334342,4561340,8895682,6045588
New Mexico,986748,816829,37912,177026,27048,874,1032414,1051703,2084117,1457632
New York,3615581,11166265,2826017,45610,1556240,4647,9534461,10131312,19665773,13524612
North Carolina,868572,6322737,2082620,107623,241485,5158,4794171,5049925,9844096,7106853
North Dakota,20476,628060,11496,37429,8766,266,367963,353677,721640,546486
Ohio,389414,9287910,1390943,16580,213401,2562,5659383,5913084,11572467,8705584
Oklahoma,370918,2590811,273694,266970,73007,4397,1906944,1942789,3849733,2768561
Oregon,485226,3042508,68797,36022,154048,14154,1948453,1990780,3939233,2867670
Pennsylvania,813031,9976400,1343056,14031,388403,2148,6239782,6534207,12773989,9705265
Rhode Island,143668,785125,56145,3863,33538,339,510388,543273,1053661,776565
South Carolina,253155,3050043,1302085,13661,66068,2413,2319457,2455163,4774620,3563745
South Dakota,27800,701616,12706,69852,10072,312,423477,419713,843190,621770
Tennessee,319466,4856091,1082982,14032,100886,2928,3167756,3331859,6499615,4828366
Texas,10193748,11633145,3068342,64361,1108865,18512,13171308,13367298,26538606,16864954
Utah,389549,2307791,29284,27341,62803,25354,1459229,1444150,2903379,1868008
Vermont,10606,586451,6656,1813,8603,177,308573,318031,626604,493124
Virginia,708226,5236924,1559413,16665,488844,4883,4060948,4195666,8256614,5948609
Washington,834725,4942608,243263,80277,530210,42186,3487725,3497739,6985464,4937212
West Virginia,25236,1713231,60181,2644,13179,459,913631,937789,1851420,1455848
Wisconsin,363826,4728754,353101,45670,142161,1044,2850148,2890732,5740880,4293094
Wyoming,55612,489575,5914,10956,5119,376,295561,284118,579679,430026
Puerto Rico,3546961,24660,2755,65,2280,56,1713857,1869213,3583070,2726220
